business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees
4485378,NYAMAGABE,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2021,43,M,Bachelor's Degree,3,Crowdfunding,10842637,8168357,19330402,16168352,Fail,Increased,1
792090,NYABIHU,"Electricity, Gas And Air Conditioning Supply",JOINT VENTURE,2021,46,M,Bachelor's Degree,2,Microfinance,3570910,7516428,2228361,1878237,Fail,Decreased,1
589729,NGOMA,Accommodation And Food Service Activities,INDIVIDUAL,2022,33,M,Secondary,10,Bank Loan,508739,511836,514952,518087,Fail,Stable,1
1572539,NYARUGENGE,Unclassified,PRIVATE CORPORATION,2022,37,M,No Formal Education,5,Family/Friends,0,5471510,401100,2651000,Success,Decreased,5
147703,RUBAVU,"Professional, Scientific And Technical Activities",INDIVIDUAL,2021,37,F,Vocational/Technical,2,Bank Loan,319625,422948,515188,312874,Fail,Decreased,1
50000,RUSIZI,Unclassified,INDIVIDUAL,2021,52,M,Bachelor's Degree,2,Government Grant,50000,200000,272600,35400,Fail,Decreased,1
56967,NGOMA,Other Service Activities,INDIVIDUAL,2021,40,M,Diploma,12,Personal Savings,15013,13576,12277,11102,Fail,Decreased,2
658120,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,39,F,Master's Degree,5,Business Partner,300000,1800000,4500000,963112,Fail,Increased,1
300873,KICUKIRO,Other Service Activities,INDIVIDUAL,2021,32,M,Bachelor's Degree,0,Personal Savings,687441,772859,868891,976856,Success,Increased,3
452041,GASABO,Other Service Activities,PRIVATE CORPORATION,2023,34,F,Secondary,5,Personal Savings,2140958,2556444,3052561,3644958,Success,Increased,3
25434777,NYANZA,Transportation And Storage,COOPERATIVE,2022,37,M,Bachelor's Degree,1,Government Grant,0,22997237,37372453,45776652,Success,Increased,3
50000000,NYAMASHEKE,Transportation And Storage,JOINT VENTURE,2022,44,F,Bachelor's Degree,2,Family/Friends,0,85864111,38855710,299889371,Success,Increased,5
50000000,GISAGARA,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,33,M,Bachelor's Degree,1,Personal Savings,0,522111861,103218949,132472964,Success,Decreased,10
260995,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,22,M,No Formal Education,1,Foreign Investment,0,1936617,1865822,1489328,Fail,Decreased,1
819423,NYAMAGABE,Activities Of Extraterritorial Organizations And Bodies,COOPERATIVE,2021,48,M,Primary,0,Venture Capital,1021478,2531439,2479714,2070188,Fail,Increased,5
774824,GASABO,Information And Communication,PARTNERSHIP,2023,39,M,Secondary,6,Bank Loan,3625644,3938368,4278065,4647062,Success,Increased,2
179725,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,32,F,Master's Degree,0,Bank Loan,90544,73778,60117,48985,Fail,Decreased,2
2743050,NYARUGURU,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2022,40,M,Vocational/Technical,4,Foreign Investment,0,15247234,32485640,11738879,Fail,Decreased,1
524636,GATSIBO,Other Service Activities,INDIVIDUAL,2021,25,M,Primary,0,Bank Loan,1098880,1719023,1435234,2074012,Fail,Increased,1
1163915,NYAMASHEKE,Other Service Activities,COOPERATIVE,2023,40,F,Bachelor's Degree,6,Personal Savings,1372610,1163300,985908,835566,Fail,Decreased,2
561435,RUSIZI,Other Service Activities,COOPERATIVE,2018,48,F,Primary,12,Personal Savings,113614,112818,112027,111242,Fail,Stable,1
50000000,GASABO,Construction,PRIVATE CORPORATION,2022,48,M,Bachelor's Degree,6,Government Grant,0,536857880,1072116171,739603359,Success,Increased,9
50000,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2020,46,M,Secondary,6,Personal Savings,126257,148515,174697,205495,Success,Increased,1
187217,KICUKIRO,Other Service Activities,INDIVIDUAL,2022,42,F,Bachelor's Degree,5,Family/Friends,1194116,1261021,1331675,1406288,Success,Increased,3
3493152,MUSANZE,Other Service Activities,PRIVATE CORPORATION,2018,65,F,Master's Degree,26,Bank Loan,23460523,25643597,28029812,30638072,Success,Increased,10
1086939,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2020,35,F,Diploma,4,Bank Loan,8430357,10363549,12740048,15661510,Success,Increased,6
200327,KICUKIRO,Other Service Activities,INDIVIDUAL,2022,27,F,Primary,5,Personal Savings,433635,504053,585906,681051,Success,Increased,2
109920,NGOMA,Unclassified,LIMITED LIABILITY COMPANY,2020,38,M,PhD,1,Personal Savings,459972,517676,582619,655709,Success,Increased,4
126645,RUSIZI,Other Service Activities,INDIVIDUAL,2022,27,M,No Formal Education,5,Foreign Investment,0,683885,1028467,597443,Fail,Decreased,1
1982655,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2021,52,F,Bachelor's Degree,15,Bank Loan,3512847,3386326,3264361,3146789,Fail,Stable,4
145454,MUHANGA,Construction,PRIVATE CORPORATION,2023,49,M,Secondary,7,Personal Savings,360744,410290,466640,530730,Success,Increased,3
50000,GATSIBO,"Agriculture, Forestry And Fishing",INDIVIDUAL,2021,50,M,Secondary,1,Personal Savings,58000,90678,119500,462000,Fail,Increased,1
781590,NGOMA,Other Service Activities,LIMITED LIABILITY COMPANY,2020,57,F,Master's Degree,13,Bank Loan,440702,375329,319653,272236,Fail,Decreased,1
50000000,RUHANGO,Human Health And Social Work Activities,PRIVATE CORPORATION,2021,44,F,Bachelor's Degree,0,Microfinance,129871958,68587646,316898021,208380961,Success,Increased,6
4934505,NYAMASHEKE,Human Health And Social Work Activities,INDIVIDUAL,2021,38,M,Bachelor's Degree,4,Family/Friends,10671543,16215491,17451718,13628498,Fail,Increased,1
50000000,HUYE,Mining And Quarrying,PRIVATE CORPORATION,2022,30,M,Bachelor's Degree,2,Crowdfunding,0,1451062506,919473849,2891491891,Success,Increased,11
85536,NYANZA,Other Service Activities,INDIVIDUAL,2021,38,M,Master's Degree,7,Venture Capital,266862,346731,381589,338776,Fail,Increased,1
779055,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,53,M,PhD,0,Foreign Investment,0,797145,307034,1985342,Fail,Increased,2
7975692,NYANZA,Human Health And Social Work Activities,JOINT VENTURE,2022,41,M,Master's Degree,2,Bank Loan,0,6719751,1769847,6920545,Success,Increased,4
576304,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,21,M,Vocational/Technical,2,Bank Loan,0,1249014,1232657,2460822,Fail,Increased,1
108557,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2018,22,F,Secondary,0,Personal Savings,165706,203002,248692,304666,Success,Increased,1
124598,KICUKIRO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,44,F,Bachelor's Degree,0,Bank Loan,32344,26061,20998,16919,Fail,Decreased,3
210721,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2023,42,M,Secondary,11,Personal Savings,570565,641136,720436,809545,Success,Increased,1
332725,GASABO,Transportation And Storage,PARTNERSHIP,2019,35,M,Diploma,2,Family/Friends,196481,208314,220860,234162,Fail,Increased,1
3039950,NYAMASHEKE,Public Administration And Defence; Compulsory Social Security,COOPERATIVE,2021,21,F,Secondary,0,Venture Capital,1931599,10939538,11308168,6767646,Success,Increased,7
5764027,GAKENKE,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,53,M,Secondary,4,Business Partner,7769200,4627505,3403268,5728498,Success,Decreased,6
11687873,MUHANGA,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2022,57,M,Master's Degree,6,Crowdfunding,0,17624433,17057405,32764348,Success,Increased,2
268377,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2023,50,F,Master's Degree,0,Personal Savings,261784,277731,294650,312599,Fail,Increased,2
9732226,GATSIBO,Activities Of Extraterritorial Organizations And Bodies,INDIVIDUAL,2022,49,M,Bachelor's Degree,1,Family/Friends,0,15707634,7249787,24754249,Fail,Increased,2
8770334,NYAMASHEKE,Other Service Activities,PRIVATE CORPORATION,2022,46,M,PhD,6,Foreign Investment,58944837,71981829,87902249,107343833,Success,Increased,8
206436,RUSIZI,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2021,34,F,Diploma,1,Bank Loan,334438,357019,381125,406859,Success,Increased,1
8018139,HUYE,Manufacturing,LIMITED LIABILITY COMPANY,2021,46,F,Master's Degree,14,Government Grant,34322240,37145267,40200490,43507007,Success,Increased,10
1380961,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2018,44,F,Secondary,10,Family/Friends,6213351,7470124,8981104,10797709,Success,Increased,8
241172,GICUMBI,Other Service Activities,LIMITED LIABILITY COMPANY,2022,37,M,Diploma,1,Family/Friends,276737,230225,191531,159340,Fail,Decreased,3
457261,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2020,39,M,Diploma,11,Bank Loan,1147077,1321215,1521789,1752812,Success,Increased,3
120118,GASABO,Other Service Activities,INDIVIDUAL,2021,38,M,Diploma,2,Personal Savings,52649,52878,53108,53339,Fail,Stable,1
5233558,NGORORERO,Unclassified,COOPERATIVE,2021,32,M,Master's Degree,0,Crowdfunding,12758420,7107861,10418274,8738568,Fail,Decreased,2
50000000,KIREHE,Manufacturing,JOINT VENTURE,2021,50,M,Primary,4,Venture Capital,262050373,73112204,394754271,479439656,Success,Increased,7
1424485,GICUMBI,Other Service Activities,LIMITED LIABILITY COMPANY,2021,40,F,Diploma,7,Bank Loan,5446936,5912424,6417692,6966140,Success,Increased,9
10984407,NYAGATARE,Activities Of Extraterritorial Organizations And Bodies,JOINT VENTURE,2022,21,M,Bachelor's Degree,3,Business Partner,0,37952490,33735162,27482551,Success,Decreased,3
833694,NGORORERO,Other Service Activities,INDIVIDUAL,2022,31,F,Diploma,4,Personal Savings,3636500,3858297,4093622,4343300,Success,Increased,6
50000000,NYAGATARE,Transportation And Storage,INDIVIDUAL,2022,41,M,Master's Degree,1,Microfinance,0,69952686,140236475,165574528,Success,Increased,6
2382543,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2021,39,M,Vocational/Technical,5,Inheritance,8887725,12345822,15815657,3704054,Fail,Decreased,2
10876493,NYAMASHEKE,Public Administration And Defence; Compulsory Social Security,INDIVIDUAL,2021,38,F,Bachelor's Degree,5,Personal Savings,24757599,9303682,52147187,36981394,Success,Increased,2
412788,KICUKIRO,Transportation And Storage,PRIVATE CORPORATION,2021,31,F,Bachelor's Degree,2,Family/Friends,153679,123811,99748,80362,Fail,Decreased,1
50000,NYABIHU,Other Service Activities,INDIVIDUAL,2021,45,M,PhD,3,Government Grant,56689,42875,500000,126975,Fail,Increased,1
14474782,NYARUGURU,"Professional, Scientific And Technical Activities",INDIVIDUAL,2022,38,F,Vocational/Technical,3,Family/Friends,0,9339596,5621748,10614765,Success,Increased,4
288322,GASABO,Activities of Mobile Money Agents,PRIVATE CORPORATION,2020,33,M,Bachelor's Degree,6,Bank Loan,763878,803764,845733,889894,Success,Increased,5
205435,GASABO,Accommodation And Food Service Activities,LIMITED LIABILITY COMPANY,2021,29,F,Secondary,1,Personal Savings,946668,1156789,1413548,1727297,Success,Increased,3
2543026,NYAGATARE,Other Service Activities,PRIVATE CORPORATION,2018,27,F,PhD,0,Family/Friends,11870354,13141011,14547685,16104936,Success,Increased,8
48906340,RULINDO,Administrative And Support Service Activities,INDIVIDUAL,2022,21,M,PhD,0,Inheritance,0,22282878,18300410,59445668,Success,Increased,4
1588082,KAYONZA,Human Health And Social Work Activities,INDIVIDUAL,2021,47,M,Primary,3,Crowdfunding,4896040,3102680,8484913,5215545,Fail,Increased,1
19408088,GISAGARA,Public Administration And Defence; Compulsory Social Security,JOINT VENTURE,2021,44,M,Master's Degree,1,Inheritance,6051704,18105218,39042467,20339275,Success,Increased,6
937709,RWAMAGANA,Transportation And Storage,INDIVIDUAL,2021,21,M,Secondary,3,Microfinance,1449524,1888051,1394355,3606338,Fail,Increased,1
251730,NYAMAGABE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,33,M,Bachelor's Degree,4,Foreign Investment,0,648775,521124,657776,Fail,Increased,1
2080894,RUSIZI,"Agriculture, Forestry And Fishing",COOPERATIVE,2022,53,M,Secondary,4,Inheritance,0,8852392,19966942,10126400,Fail,Increased,3
1654966,NYAGATARE,Other Service Activities,PRIVATE CORPORATION,2021,30,F,Diploma,0,Bank Loan,5860667,6786638,7858910,9100599,Success,Increased,3
82434,GASABO,Information And Communication,PARTNERSHIP,2023,47,M,Secondary,0,Personal Savings,328072,349236,371765,395748,Success,Increased,2
274634,BURERA,"Arts, Entertainment And Recreation",INDIVIDUAL,2021,25,M,Bachelor's Degree,0,Bank Loan,291893,748381,530500,1023199,Fail,Increased,1
333732,KICUKIRO,Accommodation And Food Service Activities,INDIVIDUAL,2021,35,F,Bachelor's Degree,1,Crowdfunding,1662907,3859884,12770449,3757571,Fail,Increased,1
2276098,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,54,M,Secondary,1,Business Partner,0,6067790,5601065,8674241,Fail,Increased,1
4846464,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2019,37,M,Bachelor's Degree,10,Bank Loan,3339061,2994425,2685360,2408195,Fail,Decreased,10
780650,NGOMA,Financial And Insurance Activities,INDIVIDUAL,2021,67,F,Primary,19,Personal Savings,982649,1022865,1064727,1108302,Fail,Stable,2
1208440,KICUKIRO,Other Service Activities,LIMITED LIABILITY COMPANY,2022,43,M,Bachelor's Degree,6,Bank Loan,1850612,1795987,1742975,1691527,Fail,Stable,7
813614,HUYE,Other Service Activities,INDIVIDUAL,2021,38,F,PhD,1,Personal Savings,2019197,1854314,37800,1987996,Fail,Decreased,4
44326057,NYABIHU,Human Health And Social Work Activities,INDIVIDUAL,2022,37,M,Vocational/Technical,0,Crowdfunding,0,14898385,125872575,77418753,Success,Increased,4
1161624,GAKENKE,Other Service Activities,INDIVIDUAL,2021,42,F,Primary,7,Business Partner,724999,1537082,3014299,2214411,Fail,Increased,2
6272905,RULINDO,Financial And Insurance Activities,INDIVIDUAL,2021,51,M,Secondary,5,Business Partner,21193808,15554946,23401335,8456901,Fail,Decreased,1
248493,KAMONYI,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,46,M,Secondary,4,Family/Friends,106833,113555,120700,128294,Fail,Increased,3
35535157,RUSIZI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,40,M,Vocational/Technical,6,Inheritance,37526746,20841325,50538978,47971845,Success,Increased,3
11126062,GASABO,Manufacturing,PRIVATE CORPORATION,2022,52,M,Secondary,1,Crowdfunding,0,3481356,36038000,10349871,Success,Increased,5
1693633,NYANZA,Other Service Activities,PRIVATE CORPORATION,2021,32,M,Vocational/Technical,0,Microfinance,6013320,2261045,2125231,7049404,Fail,Increased,3
563478,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2020,29,M,Secondary,0,Angel Investment,2180667,2648871,3217601,3908441,Success,Increased,1
574249,GISAGARA,Manufacturing,JOINT VENTURE,2021,28,M,Primary,0,Bank Loan,2595577,3207370,6549288,1532022,Fail,Decreased,1
50000000,MUSANZE,Financial And Insurance Activities,PRIVATE CORPORATION,2022,35,M,Secondary,3,Foreign Investment,0,238214953,733203284,1191988840,Success,Increased,7
2053175,NGOMA,Other Service Activities,INDIVIDUAL,2021,46,M,Diploma,16,Bank Loan,5878000,6781935,7824880,9028212,Success,Increased,2
708730,NYARUGENGE,Information And Communication,INDIVIDUAL,2019,22,F,Primary,0,Bank Loan,258145,225952,197774,173110,Fail,Decreased,3
80528,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2024,35,F,Secondary,5,Personal Savings,71502,72713,73945,75198,Fail,Stable,1
1909986,NYAMASHEKE,Other Service Activities,INDIVIDUAL,2022,63,F,Bachelor's Degree,4,Microfinance,0,298750,3302110,7071320,Fail,Increased,1
50000000,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,45,M,Bachelor's Degree,5,Business Partner,0,7539268,68157527,149583068,Success,Increased,11
242570,KIREHE,Education,INDIVIDUAL,2023,33,F,Bachelor's Degree,0,Bank Loan,260740,214325,176172,144811,Fail,Decreased,2
5279928,NYANZA,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,29,F,Secondary,4,Foreign Investment,2129895,356890,2004560,4543625,Success,Increased,5
828670,GASABO,Other Service Activities,PRIVATE CORPORATION,2022,44,M,Bachelor's Degree,1,Personal Savings,1985713,2411576,2928772,3556887,Success,Increased,3
207043,NYARUGENGE,Other Service Activities,INDIVIDUAL,2019,64,M,Secondary,11,Family/Friends,635842,767127,925519,1116615,Success,Increased,1
25259722,NYAMASHEKE,Unclassified,COOPERATIVE,2022,37,M,Master's Degree,3,Venture Capital,0,64891128,55885197,85199948,Success,Increased,3
645100,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2020,33,F,Primary,1,Personal Savings,1242767,1448360,1687965,1967208,Success,Increased,1
462014,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2021,30,M,Secondary,4,Foreign Investment,212315,173975,142558,116814,Fail,Decreased,2
134965,KICUKIRO,"Professional, Scientific And Technical Activities",INDIVIDUAL,2023,28,F,Secondary,0,Personal Savings,407970,461161,521288,589254,Success,Increased,1
1998423,HUYE,Administrative And Support Service Activities,INDIVIDUAL,2022,50,M,Secondary,2,Business Partner,0,1566752,2104244,3288592,Fail,Increased,2
50000000,NYAGATARE,Administrative And Support Service Activities,JOINT VENTURE,2021,34,F,PhD,5,Family/Friends,51380835,32633006,30350342,80610292,Success,Increased,10
50000000,GASABO,Financial And Insurance Activities,PRIVATE CORPORATION,2021,52,M,Bachelor's Degree,0,Foreign Investment,1626539648,1705312271,510340551,912435818,Success,Decreased,4
129020,NGORORERO,Motorcycle transport,INDIVIDUAL,2023,51,M,Bachelor's Degree,2,Personal Savings,389501,417340,447169,479130,Success,Increased,1
117516,KICUKIRO,Accommodation And Food Service Activities,LIMITED LIABILITY COMPANY,2021,38,M,Secondary,3,Personal Savings,262718,305169,354480,411759,Success,Increased,1
4210832,KAYONZA,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,INDIVIDUAL,2021,60,M,Bachelor's Degree,7,Business Partner,18502559,9088791,15224897,8937769,Success,Decreased,4
329137,GATSIBO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2023,41,M,Diploma,11,Family/Friends,674143,739871,812008,891178,Success,Increased,1
1113909,NYAGATARE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,46,M,Primary,3,Bank Loan,3612716,4053857,4548865,5104317,Success,Increased,3
50000000,BUGESERA,Transportation And Storage,PRIVATE CORPORATION,2021,59,M,Bachelor's Degree,2,Business Partner,113351538,359218349,294920024,248847154,Success,Increased,6
212821,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,32,F,Bachelor's Degree,1,Personal Savings,738663,791280,847646,908027,Success,Increased,1
50000000,BUGESERA,Financial And Insurance Activities,INDIVIDUAL,2022,51,M,Secondary,4,Bank Loan,0,294431084,163810737,381938915,Success,Increased,4
1785660,BUGESERA,Other Service Activities,PARTNERSHIP,2022,37,M,Primary,8,Government Grant,1336955,1348902,1360956,1373118,Fail,Stable,5
273305,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,35,M,Diploma,0,Personal Savings,433464,470597,510911,554679,Fail,Increased,3
1321505,HUYE,Motorcycle transport,PRIVATE CORPORATION,2022,34,F,Bachelor's Degree,8,Microfinance,11711869,13751472,16146269,18958116,Success,Increased,8
216364,GASABO,Unclassified,INDIVIDUAL,2022,28,F,Bachelor's Degree,0,Personal Savings,509536,568683,634696,708372,Success,Increased,2
453105,RWAMAGANA,Transportation And Storage,INDIVIDUAL,2021,27,M,Vocational/Technical,0,Bank Loan,3780609,1736915,3479623,2789198,Fail,Decreased,1
2262355,NYAMAGABE,Other Service Activities,COOPERATIVE,2021,34,F,Secondary,4,Government Grant,713841,3416397,3753882,6081108,Fail,Increased,1
423760,GICUMBI,Transportation And Storage,PRIVATE CORPORATION,2019,51,M,Primary,13,Personal Savings,1699739,1902906,2130357,2384995,Success,Increased,3
243591,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,30,F,Master's Degree,0,Personal Savings,543689,595697,652680,715114,Success,Increased,1
679622,GISAGARA,"Agriculture, Forestry And Fishing",INDIVIDUAL,2021,44,F,Bachelor's Degree,1,Government Grant,281625,1363998,783414,1797942,Fail,Increased,2
1241117,HUYE,Other Service Activities,PRIVATE CORPORATION,2021,40,F,Primary,9,Government Grant,2393684,2241067,2098181,1964405,Fail,Decreased,4
688291,GASABO,Other Service Activities,PRIVATE CORPORATION,2021,30,F,Diploma,6,Bank Loan,597766,500397,418888,350656,Fail,Decreased,1
50000,NYARUGURU,Transportation And Storage,INDIVIDUAL,2021,37,M,PhD,6,Microfinance,5455898,6986281,3631342,130000,Success,Decreased,4
762727,NYAGATARE,Transportation And Storage,PRIVATE CORPORATION,2020,33,F,PhD,7,Microfinance,2486664,3017325,3661231,4442549,Success,Increased,2
897723,NYAMASHEKE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,34,F,None,1,Bank Loan,746016,646661,560538,485885,Fail,Decreased,2
5082133,RUTSIRO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,42,F,Certificate/Diploma,2,Personal Savings,5667921,2784145,4726287,11172892,Fail,Increased,1
209685,RUSIZI,Other Service Activities,COOPERATIVE,2022,25,M,Secondary,0,Personal Savings,646631,804396,1000652,1244791,Success,Increased,1
50000000,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2021,53,M,Primary,4,Bank Loan,14611806,24971693,22311053,80145594,Success,Increased,2
50000000,GASABO,Transportation And Storage,INDIVIDUAL,2021,39,M,Primary,5,Bank Loan,90631712,141866665,111911596,68331866,Success,Decreased,4
354042,MUSANZE,Accommodation And Food Service Activities,INDIVIDUAL,2022,46,F,Master's Degree,2,Bank Loan,0,1189949,1276049,1044368,Fail,Decreased,1
1169666,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,33,M,Diploma,1,Family/Friends,9730367,10407155,11131017,11905227,Success,Increased,7
4695324,NYARUGENGE,Other Service Activities,PARTNERSHIP,2022,22,F,Bachelor's Degree,8,Bank Loan,27737758,33685484,40908564,49680467,Success,Increased,7
4258035,NYAMASHEKE,Transportation And Storage,INDIVIDUAL,2022,47,M,Bachelor's Degree,1,Business Partner,0,7002473,6554672,5305459,Fail,Decreased,4
19721770,GISAGARA,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,53,M,Secondary,4,Government Grant,11052831,58173416,63937368,44096844,Success,Increased,4
205720,RUSIZI,Other Service Activities,INDIVIDUAL,2021,42,M,Secondary,5,Microfinance,614529,452457,674863,509373,Fail,Decreased,1
50000000,MUSANZE,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,36,F,Bachelor's Degree,1,Venture Capital,0,50291718,102857743,109443884,Success,Increased,5
137417,GATSIBO,Financial And Insurance Activities,INDIVIDUAL,2021,32,F,Primary,0,Family/Friends,59418,50185,42387,35801,Fail,Decreased,1
1511469,BUGESERA,Transportation And Storage,INDIVIDUAL,2022,60,F,No Formal Education,4,Foreign Investment,0,3439057,5863510,2649068,Fail,Decreased,2
1585738,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2019,56,M,Bachelor's Degree,26,Foreign Investment,6879680,7543544,8271468,9069634,Success,Increased,2
50000000,NYAMASHEKE,Manufacturing,INDIVIDUAL,2021,42,M,Vocational/Technical,3,Government Grant,187105614,192331007,58336403,257894395,Success,Increased,6
301132,NYAMASHEKE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,41,M,PhD,1,Foreign Investment,1350769,1002546,961452,865500,Fail,Decreased,1
81772,KARONGI,Other Service Activities,INDIVIDUAL,2022,47,F,Master's Degree,9,Family/Friends,153173,174545,198899,226652,Success,Increased,1
731726,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2023,53,F,Secondary,7,Bank Loan,2918821,3192592,3492041,3819577,Success,Increased,2
50000000,KICUKIRO,Manufacturing,PRIVATE CORPORATION,2022,23,M,Master's Degree,2,Venture Capital,0,48967184,18879635,62323415,Success,Increased,5
293345,KAYONZA,Transportation And Storage,INDIVIDUAL,2021,31,M,Secondary,3,Crowdfunding,1914912,4424735,1443245,1157271,Fail,Decreased,1
2743486,RWAMAGANA,Other Service Activities,INDIVIDUAL,2019,46,F,Secondary,10,Family/Friends,20289092,25284916,31510872,39269858,Success,Increased,5
50000000,MUSANZE,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,52,F,Secondary,1,Inheritance,359840299,243194761,189954486,244536015,Success,Decreased,6
92039,RUBAVU,"Agriculture, Forestry And Fishing",INDIVIDUAL,2022,35,F,Secondary,2,Crowdfunding,0,666480,565651,266751,Fail,Decreased,1
659142,NYARUGENGE,Other Service Activities,COOPERATIVE,2023,40,M,Secondary,8,Government Grant,436853,382837,335500,294016,Fail,Decreased,1
1117263,GASABO,Transportation And Storage,INDIVIDUAL,2022,35,F,Bachelor's Degree,3,Government Grant,1235008,1141600,1055257,975445,Fail,Decreased,4
504618,NYARUGENGE,Other Service Activities,LIMITED LIABILITY COMPANY,2020,58,F,Bachelor's Degree,11,Bank Loan,1939742,2259360,2631642,3065266,Success,Increased,2
2682989,GASABO,Transportation And Storage,INDIVIDUAL,2021,55,M,PhD,5,Business Partner,2169472,2943127,1748714,3393892,Fail,Increased,2
1445230,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,JOINT VENTURE,2022,55,M,Secondary,6,Family/Friends,0,13297080,6637495,3391898,Fail,Decreased,2
1937000,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,53,M,Bachelor's Degree,5,Venture Capital,123898,672627,367000,4677300,Fail,Increased,1
378306,GASABO,Other Service Activities,INDIVIDUAL,2022,37,M,Secondary,1,Personal Savings,620476,604789,589498,574594,Fail,Stable,4
356970,NGOMA,Other Service Activities,INDIVIDUAL,2022,56,F,No Formal Education,0,Bank Loan,0,1168406,1853077,1206939,Fail,Increased,3
1164797,GICUMBI,Unclassified,PRIVATE CORPORATION,2022,27,F,Diploma,3,Bank Loan,5438018,6734980,8341266,10330649,Success,Increased,5
